Zoning_Subdistrict,Zoning_District,Article,Map_Number,Subdistrict_Type,Subdistrict_Use,Unique_Code,Condition_Number,Condition_Text,Additional_Restrictions_or_Foot,Municode_Reference_to_Restricti,Max_FAR,Max_Height,Front_Setback,Side_Setback,Rear_Setback,Max_Dwelling_Units_Per_Area,Max_Number_of_Floors,Dwelling_Units_Factor,Amendment_Number,Latest_Amendment_Effective_Date,Color_Hex_Code,Urban_CustomID,Urban_Name,Comments,created_user,created_date,last_edited_user,last_edited_date,Shape_Length,Shape_Area,shape_wkt
SOUTH BOYLSTON NS-3,Fenway Neighborhood,66,1Q,Neighborhood Shopping,Commercial,Art66_SOUTH BOYLSTON NS-3,0,,,,5.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,8.000000000000000,,,,#990300,ART66-SUB019-0,ART66-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.003299892690033,0.000000451554570,"MULTIPOLYGON (((-71.097530952999989 42.344157554000049, -71.096282468999959 42.344500978000042, -71.096440988999973 42.344816575000038, -71.097689712999966 42.344478689000027, -71.097530952999989 42.344157554000049)))"
NORTH BOYLSTON NS-3,Fenway Neighborhood,66,1Q,Neighborhood Shopping,Commercial,Art66_NORTH BOYLSTON NS-3,0,North Boylston Neighborhood Shopping Subdistrict,Special Restriction,,5.000000000000000,95.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,,8.000000000000000,,,,#990300,ART66-SUB012-0,ART66-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.006422408549905,0.000002093392611,
NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Shoreland Open Space,Open Space,Art42A_NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,0,,,,,,,,,,,,,,#38A800,ART42A-SUB017-0,ART42A-Shoreland Open Space,,,,GIS,5/7/2025 19:30:57,0.049487142033146,0.000058183775202,
CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",General Business,Commercial,Art42A_CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,0,,,,1.000000000000000,35.000000000000000,,,,,,,,,#990300,ART42A-SUB002-0,ART42A-General Business,,,,GIS,5/7/2025 19:30:57,0.003165432794622,0.000000373373568,"MULTIPOLYGON (((-71.047295295999959 42.280839852000042, -71.047265603999961 42.280825709000055, -71.046878223999954 42.280655478000028, -71.04684092399998 42.280639087000054, -71.046638953999945 42.280899200000079, -71.046144905999938 42.281526371000041, -71.046197524999968 42.281546301000049, -71.046470847999956 42.281649824000056, -71.046648930999936 42.281280123000045, -71.047295295999959 42.280839852000042)))"
NEPONSET RIVER RESIDENTIAL SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Residential,Commercial,Art42A_NEPONSET RIVER RESIDENTIAL SUBDISTRICT,0,,,,1.000000000000000,35.000000000000000,,,,,,,,,#990300,ART42A-SUB016-0,ART42A-Residential,,,,GIS,5/7/2025 19:30:57,0.010144490404428,0.000004107547048,
LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Shoreland Open Space,Open Space,Art42A_LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,0,,,,,,,,,,,,,,#38A800,ART42A-SUB011-0,ART42A-Shoreland Open Space,,,,GIS,5/7/2025 19:30:57,0.040062478475290,0.000051513939393,
OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Shoreland Open Space,Open Space,Art42A_OS-SL,0,,,,,,,,,,,,,,#38A800,ART42A-SUB019-0,ART42A-Shoreland Open Space,,,,GIS,5/7/2025 19:30:57,0.057656437258798,0.000111750525974,
CLAM POINT WATERFRONT SERVICE,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Waterfront Service,Commercial,Art42A_CLAM POINT WATERFRONT SERVICE,0,,,,1.000000000000000,35.000000000000000,,,,,,,,,#990300,ART42A-SUB005-0,ART42A-Waterfront Service,,,,GIS,5/7/2025 19:30:57,0.042425278316192,0.000055138264708,
OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Shoreland Open Space,Open Space,Art42A_OS-SL,0,,,,,,,,,,,,,,#38A800,ART42A-SUB019-0,ART42A-Shoreland Open Space,,,,GIS,5/7/2025 19:30:57,0.020143814423094,0.000020148717745,
DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Waterfront Service,Commercial,Art42A_DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,0,,,,1.000000000000000,35.000000000000000,,,,,,,,,#990300,ART42A-SUB006-0,ART42A-Waterfront Service,,,,GIS,5/7/2025 19:30:57,0.010873565512362,0.000007030172337,
CPS,Jamaica Plain Neighborhood,55,9A-9C,Conservation Protection,Miscellaneous,Art55_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART55-SUB012-0,ART55-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.013084411171245,0.000007188842423,
1F-5000,Jamaica Plain Neighborhood,55,9A-9C,One-Family Residential,Single-Family Residential,Art55_1F-5000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#c9be00,ART55-SUB003-0,ART55-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.014873169144217,0.000006568556991,
2F-5000,Jamaica Plain Neighborhood,55,9A-9C,Two-Family Residential,Medium Residential,Art55_2F-5000,0,,,,0.600000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART55-SUB007-0,ART55-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.005210446068089,0.000001502717102,
OS-BZ,Jamaica Plain Neighborhood,55,9A-9C,Botanical/Zoological Garden Open Space,Open Space,Art55_OS-BZ,0,,,,,,,,,,,,,,#38A800,ART55-SUB023-0,ART55-Botanical/Zoological Garden Open Space,,,,GIS,5/7/2025 19:30:57,0.010704534210000,0.000003373663415,
2F-7000,Jamaica Plain Neighborhood,55,9A-9C,Two-Family Residential,Medium Residential,Art55_2F-7000,0,1 or 2 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART55-SUB008-0,ART55-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.010391766066167,0.000002286712161,
2F-5000,Jamaica Plain Neighborhood,55,9A-9C,Two-Family Residential,Medium Residential,Art55_2F-5000,0,,,,0.600000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART55-SUB007-0,ART55-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.017033413193579,0.000011301718373,
1F-4000,Jamaica Plain Neighborhood,55,9A-9C,One-Family Residential,Single-Family Residential,Art55_1F-4000,0,1 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#c9be00,ART55-SUB002-0,ART55-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.007453073216654,0.000002897246199,
2F-5000,Jamaica Plain Neighborhood,55,9A-9C,Two-Family Residential,Medium Residential,Art55_2F-5000,0,,,,0.600000000000000,35.000000000000000,15.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#8B8400,ART55-SUB007-0,ART55-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.017907755676276,0.000011679888171,
1F-4000,Jamaica Plain Neighborhood,55,9A-9C,One-Family Residential,Single-Family Residential,Art55_1F-4000,0,1 Family Detached,,,0.600000000000000,35.000000000000000,20.000000000000000,10.000000000000000,20.000000000000000,,2.500000000000000,,,,#c9be00,ART55-SUB002-0,ART55-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.023940016480250,0.000021777367645,
3F-4000,Jamaica Plain Neighborhood,55,9A-9C,Three-Family Residential,Medium Residential,Art55_3F-4000,0,Row House Building or Town House Building,,,0.800000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART55-SUB010-0,ART55-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.012746223003040,0.000004430786025,
OS-RC,Jamaica Plain Neighborhood,55,9A-9C,Recreation Open Space,Open Space,Art55_OS-RC,0,,,,,,,,,,,,,,#38A800,ART55-SUB027-0,ART55-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.005598466059604,0.000001769460708,
MFR,Jamaica Plain Neighborhood,55,9A-9C,Multifamily Residential,Medium Residential,Art55_MFR,0,,,,1.000000000000000,35.000000000000000,20.000000000000000,10.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART55-SUB016-0,ART55-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.005314015290568,0.000001245894251,
3F-5000,Jamaica Plain Neighborhood,55,9A-9C,Three-Family Residential,Medium Residential,Art55_3F-5000,0,Row House Building or Town House Building,,,0.600000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART55-SUB011-0,ART55-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.041394398300086,0.000025410026537,
CPS,Jamaica Plain Neighborhood,55,9A-9C,Conservation Protection,Miscellaneous,Art55_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART55-SUB012-0,ART55-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.035015710309068,0.000045041894065,
1F-9000,Jamaica Plain Neighborhood,55,9A-9C,One-Family Residential,Single-Family Residential,Art55_1F-9000,0,1 Family Detached,,,0.300000000000000,35.000000000000000,25.000000000000000,12.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART55-SUB005-0,ART55-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.064615532444795,0.000096409123750,
IDA,Jamaica Plain Neighborhood,55,9A-9C,Industrial Development Area,Industrial,Art55_IDA,0,,,,1.000000000000000,35.000000000000000,,,20.000000000000000,,,,,,#65345F,ART55-SUB013-0,ART55-Industrial Development Area,,,,GIS,5/7/2025 19:30:57,0.009507544923981,0.000002985461930,
NI,Jamaica Plain Neighborhood,55,9A-9C,Neighborhood Institutional,Community/Institutional,Art55_NI,0,,,,1.000000000000000,45.000000000000000,10.000000000000000,10.000000000000000,20.000000000000000,,,,,,#004B6E,ART55-SUB017-0,ART55-Neighborhood Institutional,Height/FAR/Setback per hospital,,,GIS,5/7/2025 19:30:57,0.012908917935255,0.000008589951764,
LC,Jamaica Plain Neighborhood,55,9A-9C,Local Convenience,Commercial,Art55_LC,0,,,,1.000000000000000,35.000000000000000,,,20.000000000000000,,,,,,#990300,ART55-SUB014-0,ART55-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.021575051859323,0.000005138715975,
CPS,Jamaica Plain Neighborhood,55,9A-9C,Conservation Protection,Miscellaneous,Art55_CPS,0,,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART55-SUB012-0,ART55-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.014544677819243,0.000011797677660,
3F-5000,Jamaica Plain Neighborhood,55,9A-9C,Three-Family Residential,Medium Residential,Art55_3F-5000,0,Row House Building or Town House Building,,,0.600000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART55-SUB011-0,ART55-Three-Family Residential,,,,GIS,5/7/2025 19:30:57,0.063877758380194,0.000034295756165,
CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,42A,"4B-4D, 5F-5H",Waterfront Manufacturing,Industrial,Art42A_CEDAR GROVE WATERFRONT MANUFACTURING SUBDISTRICT,0,,,,1.000000000000000,35.000000000000000,,,,,,,,,#65345F,ART42A-SUB003-0,ART42A-Waterfront Manufacturing,,,,GIS,5/7/2025 19:30:57,0.002995719258366,0.000000394998141,
NS,Jamaica Plain Neighborhood,55,9A-9C,Neighborhood Shopping,Commercial,Art55_NS,0,,,,2.000000000000000,45.000000000000000,,,20.000000000000000,,,,,,#990300,ART55-SUB020-0,ART55-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.008648886372644,0.000001215266391,
MFR,Dorchester Neighborhood,65,5A-5E,Multifamily Residential,Medium Residential,Art65_MFR,0,"1, 2 or 3 Family Detached or Semi-Attached Dwelling",,,1.000000000000000,35.000000000000000,5.000000000000000,10.000000000000000,20.000000000000000,,3.000000000000000,,,,#8B8400,ART65-SUB025-0,ART65-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.003754726822057,0.000000700948421,
1F-6000,Hyde Park Neighborhood,69,12,One-Family Residential,Single-Family Residential,Art69_1F-6000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,25.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART69-SUB001-0,ART69-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.003205934502974,0.000000424370974,
OS-CM,Hyde Park Neighborhood,69,12,Cemetery Open Space,Open Space,Art69_OS-CM,0,,,,,,,,,,,,,,#38A800,ART69-SUB012-0,ART69-Cemetery Open Space,,,,GIS,5/7/2025 19:30:57,0.008076082392413,0.000002911244675,"MULTIPOLYGON (((-71.11372898999997 42.27674352300005, -71.114085302999968 42.276270010000076, -71.113357331999964 42.275968739000064, -71.113213841999936 42.275649952000038, -71.113611902999935 42.275015193000058, -71.112067915999944 42.274602461000029, -71.111722218999944 42.275022471000057, -71.111307022999938 42.275590542000032, -71.11367460799994 42.276811552000026, -71.11372898999997 42.27674352300005)))"
MFR,Hyde Park Neighborhood,69,12,Multifamily Residential,Medium Residential,Art69_MFR,0,,,,2.000000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART69-SUB009-0,ART69-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.009857166757114,0.000005203585798,
NS-1,Hyde Park Neighborhood,69,12,Neighborhood Shopping,Commercial,Art69_NS-1,0,,,,1.000000000000000,35.000000000000000,10.000000000000000,,10.000000000000000,,3.000000000000000,,,,#990300,ART69-SUB010-0,ART69-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.025640087084282,0.000024234150962,
CPS,Hyde Park Neighborhood,69,12,Conservation Protection,Miscellaneous,Art69_CPS,0,Residential Use,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART69-SUB005-0,ART69-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.001344927976815,0.000000107012509,"MULTIPOLYGON (((-71.111301810999976 42.274152876000073, -71.111382688999981 42.274014763000025, -71.111441626999977 42.273914102000049, -71.111501301999965 42.273812191000047, -71.11123572799994 42.273726411000041, -71.111039453999979 42.274070380000069, -71.111301810999976 42.274152876000073)))"
1F-6000,Hyde Park Neighborhood,69,12,One-Family Residential,Single-Family Residential,Art69_1F-6000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,25.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART69-SUB001-0,ART69-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.094221658063154,0.000133870324788,
LC,Hyde Park Neighborhood,69,12,Local Convenience,Commercial,Art69_LC,0,,,,0.500000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,2.500000000000000,,,,#990300,ART69-SUB006-0,ART69-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.005007706467050,0.000000990706358,
NS-1,Hyde Park Neighborhood,69,12,Neighborhood Shopping,Commercial,Art69_NS-1,0,,,,1.000000000000000,35.000000000000000,10.000000000000000,,10.000000000000000,,3.000000000000000,,,,#990300,ART69-SUB010-0,ART69-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.006630109568599,0.000002543269332,
OS-P,Hyde Park Neighborhood,69,12,Parkland Open Space,Open Space,Art69_OS-P,0,,,,,,,,,,,,,,#38A800,ART69-SUB013-0,ART69-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.009948764096564,0.000005795552411,
CPS,Hyde Park Neighborhood,69,12,Conservation Protection,Miscellaneous,Art69_CPS,0,Residential Use,,,0.300000000000000,35.000000000000000,50.000000000000000,50.000000000000000,50.000000000000000,,,,,,#535353,ART69-SUB005-0,ART69-Conservation Protection,,,,GIS,5/7/2025 19:30:57,0.004042528026177,0.000000485752762,
LI-1,Hyde Park Neighborhood,69,12,Local Industrial,Industrial,Art69_LI-1,0,,,,1.000000000000000,35.000000000000000,5.000000000000000,0.000000000000000,10.000000000000000,,,,,,#65345F,ART69-SUB007-0,ART69-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.016755892734831,0.000005890164978,
1F-6000,Hyde Park Neighborhood,69,12,One-Family Residential,Single-Family Residential,Art69_1F-6000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,25.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART69-SUB001-0,ART69-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.000853067962477,0.000000023196208,"MULTIPOLYGON (((-71.122017265999943 42.270954758000073, -71.121838269999955 42.270912416000044, -71.121804484999984 42.271046801000068, -71.121779621999963 42.271126580000043, -71.121851069999934 42.27117392200006, -71.121847177999939 42.271120261000078, -71.121901784999977 42.270988034000027, -71.122011046999944 42.271007792000034, -71.122017265999943 42.270954758000073)))"
OS-RC,Hyde Park Neighborhood,69,12,Recreation Open Space,Open Space,Art69_OS-RC,0,,,,,,,,,,,,,,#38A800,ART69-SUB014-0,ART69-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.045784265933762,0.000069544087334,
LC,Hyde Park Neighborhood,69,12,Local Convenience,Commercial,Art69_LC,0,,,,0.500000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,2.500000000000000,,,,#990300,ART69-SUB006-0,ART69-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.005203745035279,0.000000878460431,
LC,Hyde Park Neighborhood,69,12,Local Convenience,Commercial,Art69_LC,0,,,,0.500000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,2.500000000000000,,,,#990300,ART69-SUB006-0,ART69-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.002852464631305,0.000000442413899,
LI-1,Hyde Park Neighborhood,69,12,Local Industrial,Industrial,Art69_LI-1,0,,,,1.000000000000000,35.000000000000000,5.000000000000000,0.000000000000000,10.000000000000000,,,,,,#65345F,ART69-SUB007-0,ART69-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.005942205802307,0.000001413404127,
OS-UW,Hyde Park Neighborhood,69,12,Urban Wild Open Space,Open Space,Art69_OS-UW,0,,,,,,,,,,,,,,#38A800,ART69-SUB016-0,ART69-Urban Wild Open Space,,,,GIS,5/7/2025 19:30:57,0.003962953027165,0.000000755096315,
2F-5000,Hyde Park Neighborhood,69,12,Two-Family Residential,Medium Residential,Art69_2F-5000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#8B8400,ART69-SUB003-0,ART69-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.152215425164201,0.000110354466679,
OS-P,Hyde Park Neighborhood,69,12,Parkland Open Space,Open Space,Art69_OS-P,0,,,,,,,,,,,,,,#38A800,ART69-SUB013-0,ART69-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.024057642232587,0.000001924938021,
2F-5000,Hyde Park Neighborhood,69,12,Two-Family Residential,Medium Residential,Art69_2F-5000,0,1 Family Detached or Semi-Attached or 2 Family Detached,,,0.500000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#8B8400,ART69-SUB003-0,ART69-Two-Family Residential,,,,GIS,5/7/2025 19:30:57,0.006808729450839,0.000001670348699,
MFR,Hyde Park Neighborhood,69,12,Multifamily Residential,Medium Residential,Art69_MFR,0,,,,2.000000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART69-SUB009-0,ART69-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.007169015463637,0.000002127474967,
MFR,Hyde Park Neighborhood,69,12,Multifamily Residential,Medium Residential,Art69_MFR,0,,,,2.000000000000000,35.000000000000000,20.000000000000000,10.000000000000000,40.000000000000000,,3.000000000000000,,,,#8B8400,ART69-SUB009-0,ART69-Multifamily Residential,,,,GIS,5/7/2025 19:30:57,0.007635671294507,0.000002686753408,
1F-6000,Hyde Park Neighborhood,69,12,One-Family Residential,Single-Family Residential,Art69_1F-6000,0,1 Family Detached,,,0.500000000000000,35.000000000000000,25.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART69-SUB001-0,ART69-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.024559359444156,0.000022656478151,
LC,Hyde Park Neighborhood,69,12,Local Convenience,Commercial,Art69_LC,0,,,,0.500000000000000,35.000000000000000,15.000000000000000,0.000000000000000,20.000000000000000,,2.500000000000000,,,,#990300,ART69-SUB006-0,ART69-Local Convenience,,,,GIS,5/7/2025 19:30:57,0.009169100465018,0.000002265345848,
NS-1,Hyde Park Neighborhood,69,12,Neighborhood Shopping,Commercial,Art69_NS-1,0,,,,1.000000000000000,35.000000000000000,10.000000000000000,,10.000000000000000,,3.000000000000000,,,,#990300,ART69-SUB010-0,ART69-Neighborhood Shopping,,,,GIS,5/7/2025 19:30:57,0.008239016159090,0.000001725423629,
OS-RC,Hyde Park Neighborhood,69,12,Recreation Open Space,Open Space,Art69_OS-RC,0,,,,,,,,,,,,,,#38A800,ART69-SUB014-0,ART69-Recreation Open Space,,,,GIS,5/7/2025 19:30:57,0.004364660732395,0.000000572328801,
OS-P,Hyde Park Neighborhood,69,12,Parkland Open Space,Open Space,Art69_OS-P,0,,,,,,,,,,,,,,#38A800,ART69-SUB013-0,ART69-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.010505144038361,0.000001952921011,
OS-UW,Hyde Park Neighborhood,69,12,Urban Wild Open Space,Open Space,Art69_OS-UW,0,,,,,,,,,,,,,,#38A800,ART69-SUB016-0,ART69-Urban Wild Open Space,,,,GIS,5/7/2025 19:30:57,0.008338438542433,0.000001738041408,
OS-P,Hyde Park Neighborhood,69,12,Parkland Open Space,Open Space,Art69_OS-P,0,,,,,,,,,,,,,,#38A800,ART69-SUB013-0,ART69-Parkland Open Space,,,,GIS,5/7/2025 19:30:57,0.106915069852466,0.000151233092514,
1F-9000,Hyde Park Neighborhood,69,12,One-Family Residential,Single-Family Residential,Art69_1F-9000,0,1 Family Detached,,,0.300000000000000,35.000000000000000,25.000000000000000,10.000000000000000,40.000000000000000,,2.500000000000000,,,,#c9be00,ART69-SUB002-0,ART69-One-Family Residential,,,,GIS,5/7/2025 19:30:57,0.015126197417835,0.000009233919967,
